user_id	class
564	1
562	0
561	1
560	1
559	1
558	0
557	1
556	1
544	1
611	1
678	1
613	1
666	1
665	1
664	6
663	1
662	6
661	0
660	2
659	6
658	1
657	1
656	1
655	4
654	2
653	1
652	2
667	1
668	1
669	6
670	6
686	1
685	1
684	6
683	2
682	1
681	6
680	0
687	1
679	0
677	1
676	6
675	1
674	6
673	1
672	0
671	1
651	1
650	6
649	6
630	0
628	6
627	5
626	6
625	2
624	1
623	0
622	6
621	3
620	6
619	1
618	3
617	1
616	5
615	2
614	6
612	1
629	0
631	1
648	3
632	3
1373	4
646	6
645	6
644	2
643	6
642	6
641	0
640	6
639	6
638	2
637	2
636	1
635	1
634	6
633	0
2138	0
2139	6
2140	6
2141	1
2142	5
2143	6
2144	6
2145	0
2146	4
2147	1
2149	0
2161	1
2150	1
2151	0
2152	3
2153	0
2154	6
2155	6
2156	6
2157	1
2158	1
2159	6
2160	1
2136	1
2148	4
2135	6
2120	1
2109	3
2110	6
2111	6
2112	0
2113	6
2114	1
2115	1
2116	1
2117	1
2118	0
2119	1
2121	1
2133	0
2122	3
2123	1
2124	1
2125	0
2126	1
2127	1
2128	3
2129	5
2130	2
2131	1
2132	1
2134	1
2163	0
2190	6
2164	2
2193	6
2194	6
2195	2
2196	1
2197	4
2198	0
2199	6
2200	1
2201	4
2202	1
2203	1
2205	6
2217	1
2206	2
2207	6
2208	3
2209	3
2210	1
2211	2
2212	1
2213	2
2214	1
2215	4
2216	0
2192	0
2204	6
2191	0
2176	0
2165	1
2166	4
2167	6
2107	0
2168	1
2169	0
2170	4
2171	0
2172	1
2173	1
2174	1
2175	0
2177	0
2189	0
2178	1
2179	6
2180	1
2181	1
2182	2
2183	0
2184	1
2185	1
2186	1
2187	6
2188	0
2108	0
2162	1
2106	3
2099	1
2023	1
2024	1
2025	2
2026	3
2021	6
2028	1
2029	1
2030	2
2031	1
2032	1
2033	2
2034	0
2035	0
2036	0
2037	1
2038	1
2039	3
2040	2
2041	1
2042	2
2043	0
2044	2
2045	2
2046	1
2047	1
2022	1
2048	1
2020	2
2018	6
2004	0
2001	1
2002	6
2219	6
2005	6
1999	6
1998	3
2000	2
2003	1
2006	2
2019	0
2008	5
2009	2
2010	1
2011	1
2012	5
2013	5
2014	5
2015	4
2007	1
2016	1
2017	5
2027	0
2049	0
2105	5
2051	5
2080	5
2081	5
2082	0
2083	0
2084	6
2085	1
2086	1
2087	0
2088	1
2089	1
2090	6
2091	0
2092	1
2093	1
2094	3
2095	1
2096	1
2097	1
2098	1
2050	1
2100	1
2101	1
2102	1
2103	1
2104	1
2079	6
2078	1
2077	1
